NON_CORRELATED,CORRELATED95,COLUMNS_WITH_NAN
SMKLSS30N,MRBSTWAY,SMISUD5ANYO
SMKLSS30E,MJYRSMOKE,AMIRSUD5ANY
CIGAREVR,MJYRVAPE,AMISUD5ANYO
CIGARTRY,MJYRDAB,ADSUITPAYR
CIGARYFU,MJYREAT,ADSUITPACOM
CIGARMFU,MJYRMOUTH,AMDELT
CGR30USE,MJYRSKIN,AMDEYR
CI30EST,MJYRPILL,ASDSHOM2
PIPEVER,MJYROTHER,ASDSWRK2
PIPE30DY,MJMONSMOKE,ASDSREL2
CIGFNLKE,MJMONVAPE,ASDSSOC2
IRPMNICDEP,MJMONDAB,AMDEIMP
IIPMNICDEP,MJMONEAT,IRAMDELT
ALCEVER,MJMONMOUTH,IRAMDEYR
ALCTRY,MJMONSKIN,IRAMDEIMP
ALCYFU,MJMONPILL,ATXMDEYR
ALTOTFG,MJANYMEDYR,ARXMDEYR
ALFQFLG,MKMBGHTYR,AMDETXRX
ALDAYPYR,MKMTRADEYR,ADOCMDE
ALDAYPMO,MKMFREEYR,AOMDMDE
ALDAYPWK,MKMGREWYR,APSY1MDE
ALCDAYS,MKMOTHWAYYR,APSY2MDE
AL30EST,MKMAMTPDCOM2,ASOCMDE
ALDYSFG,MKMBGHTDISP,ACOUNMDE
ALCUS30D,MKMBGHTJNT,AOMHMDE
CADRPEOP,MKMBGHTLOO,ANURSMDE
CADROTS2,MKMBGHTVAPE,ARELMDE
CAGVMONY,MKMBGHTDAB,AHBCHMDE
CABUYWHO,MKMBGHTEDBLE,AHLTMDE
CABPLACE,MKMBGHTDRPS,AALTMDE
CABUNDAG,MKMBGHTLTN,YMDELT
CAGVWHO,MKMBGHTPILL,YMDEYR
CAFREWHO,MKMBGHTOTH,YMDEAUD5YR
CAFRESP2,MKMSELLMRJ,YMIUD5YANY
CADRKDRUG,BLNTREC,YMSUD5YANY
CADRKMARJ,COCREC,YMDERSUD5ANY
CADRKCOCN,COCYRTOT,YMDESUD5ANYO
CADRKHERN,CCBSTWAY,YTXMDEYR
CADRKHALL,CRKEVER,YRXMDEYR
CADRKINHL,CRAKREC,YMDETXRX
CADRKMETH,CRBSTWAY,YDOCMDE
CABINGFLG,HERREC,YOMDMDE
CABINGAGE,HRBSTWAY,YPSY1MDE
CABINGYFU,PCP,YPSY2MDE
EIBINGAGE,PEYOTE,YSOCMDE
EIBINGYFU,MESC,YCOUNMDE
EIBINGMFU,PSILCY,YOMHMDE
CBDHMPEVR,ECSTMOLLY,YNURSMDE
CBDHMPREC,KETMINESK,YRELMDE
MJEVER,DMTAMTFXY,YHBCHMDE
MJAGE,SALVIADIV,YHLTMDE
MJYFU,HALLUCOTH,YALTMDE
MJMFU,HALLUCEVR,YMDEHPRX
MRTOTFG,HALLUCAGE,YMDEHPO
MJFQFLG,HALLUCREC,YMDERXO2
MRDAYPYR,HALLUCYFQ,YMDEHARX
MRDAYPMO,HALLEASWY,YSDSHOME
MRDAYPWK,LSDREC,YSDSWRK
MJDAY30A,PCPREC,YSDSREL
MR30EST,ECSTMOREC,YSDSSOC
MJALLMEDYR,CLEFLU,YSDSOVRL
MEDMJPA2,GAS,MDEIMPY
MKMBGHTREC,GLUE,YMDEIMAD5YR
MKMBGHT30N2,ETHER,YMIMI5YANY
MKMBGHTKNW,SOLVENT,YMIMR5YANY
MKMLOOGMCOM2,LGAS,YMIMS5YANY
MKMLOOOUNCE,NITOXID,MHTNSEEKPY
BLNTEVER,FELTMARKR,MHTSKTHPY
BLNTAGE,SPPAINT,MHNTCOST
BLNTYFU,AIRDUSTER,MHNTINSCV
BLNTMFU,OTHAEROS,MHNTENFCV
BLRECFL2,INHALOTH,MHNTWHER
BLNT30DY,INHALEVER,MHNTNOFND
BLNT30C1,INHALAGE,MHNTNOOPN
BLNT30C2,INHALREC,MHNTPROBS
RSNOMRJ,INHALYFQ,MHNTTIME
RSNMRJMO,INHEASWY,MHNTPRIV
BLNTNOMJ,METHAMREC,MHNTPTHNK
COCEVER,METHAMYFQ,MHNTCONSQ
COCAGE,METHEASWY,MHNTSTART
COCYFU,PNRNMLIF,MHNTHNDL
COCMFU,PNRNMYFU,MHNTFFLKE
CCTOTFG,PNRNMMFU,MHNTFORCE
CCFQFLG,PNRNM30D,MHNTMEDS
CCDAYPYR,PNRWYNORX,MHNTNOHLP
CCDAYPMO,PNRWYGAMT,MHNTCARE
CCDAYPWK,PNRWYOFTN,CASUPROB2
COCUS30A,PNRWYLNGR,RCVYSUBPRB
CC30EST,PNRWYOTWY,CAMHPROB2
CRKAGE,PNRNMLAS1,RCVYMHPRB
CRKYFU,PNRRSPAIN,COCLALCUSE
CRKMFU,PNRRSRELX,COCLDRGUSE
CRKYRTOT,PNRRSEXPT,
CRTOTFG,PNRRSHIGH,
CRFQFLG,PNRRSSLEP,
CRDAYPYR,PNRRSEMOT,
CRDAYPMO,PNRRSDGFX,
CRDAYPWK,PNRRSHOOK,
CRKUS30A,PNRRSSOR,
CR30EST,TRQNMLIF,
HEREVER,TRQNMYFU,
HERAGE,TRQNM30D,
HERYFU,TRQWYNORX,
HERMFU,TRQWYGAMT,
HERYRTOT,TRQWYOFTN,
HRTOTFG,TRQWYLNGR,
HRFQFLG,TRQWYOTWY,
HRDAYPYR,TRQNMLAS1,
HRDAYPMO,TRQRSRELX,
HRDAYPWK,TRQRSEXPT,
HER30USE,TRQRSHIGH,
HR30EST,TRQRSSLEP,
LSD,TRQRSEMOT,
HALLUCOT1,TRQRSDGFX,
HALLUCOT2,TRQRSHOOK,
HALLUCOT3,TRQRSSOR,
HALLUCOT4,STMNMLIF,
HALLUCOT5,STMNMYFU,
HALLUCYFU,STMNMMFU,
HALLUCMFU,STMNM30D,
HALTOTFG,STMWYNORX,
HALFQFLG,STMWYGAMT,
HALLDYSYR,STMWYOFTN,
HALLDYPMO,STMWYLNGR,
HALLDYPWK,STMWYOTWY,
HALLUC30N,STMNDLYR,
HALLUC30E,STMNMLAS1,
LSDAGE,STMRSWGHT,
LSDYFU,STMRSCONC,
LSDMFU,STMRSALRT,
PCPAGE,STMRSSTDY,
PCPYFU,STMRSEXPT,
PCPMFU,STMRSHIGH,
ECSTMOAGE,STMRSDGFX,
ECSTMOYFU,STMRSHOOK,
ECSTMOMFU,STMRSSOR,
KETMINREC,SEDNMLIF,
DAMTFXREC,SEDNMYFU,
SALVIAREC,SEDNM30D,
